,Area Unit,ANZSOC Division,Year,Region,Victimisations
308,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,3
309,Inglewood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
310,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
311,Barrett.,"Robbery, Extortion and Related Offences",2023,Taranaki Region,1
312,New Plymouth Central.,"Robbery, Extortion and Related Offences",2023,Taranaki Region,1
313,Kawaroa.,"Robbery, Extortion and Related Offences",2023,Taranaki Region,1
314,Fitzroy.,Theft and Related Offences,2023,Taranaki Region,1
315,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
316,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
317,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
318,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
319,Struan Park.,Theft and Related Offences,2023,Taranaki Region,1
320,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,1
321,Inglewood.,Theft and Related Offences,2023,Taranaki Region,1
322,Waitara West.,Theft and Related Offences,2023,Taranaki Region,1
323,Inglewood.,Theft and Related Offences,2023,Taranaki Region,1
324,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,1
325,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
326,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
327,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
328,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
329,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
330,Moturoa.,Theft and Related Offences,2023,Taranaki Region,1
331,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
332,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
333,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
334,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
335,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
336,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
337,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
338,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
339,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
340,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
341,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
342,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
343,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,1
344,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
345,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
346,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
347,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
348,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
349,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
350,Spotswood.,Theft and Related Offences,2023,Taranaki Region,1
351,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
352,Spotswood.,Theft and Related Offences,2023,Taranaki Region,1
353,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
354,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
355,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
356,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,2
357,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,2
358,Hawera North.,Theft and Related Offences,2023,Taranaki Region,1
359,Waitara West.,Theft and Related Offences,2023,Taranaki Region,1
360,Waitara West.,Theft and Related Offences,2023,Taranaki Region,1
361,Marsland Hill.,Theft and Related Offences,2023,Taranaki Region,1
362,Marsland Hill.,Theft and Related Offences,2023,Taranaki Region,1
363,Moturoa.,Theft and Related Offences,2023,Taranaki Region,1
364,Oakura.,Theft and Related Offences,2023,Taranaki Region,1
365,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
366,Patea.,Theft and Related Offences,2023,Taranaki Region,1
367,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
368,Stratford West.,Theft and Related Offences,2023,Taranaki Region,1
369,Opunake.,Theft and Related Offences,2023,Taranaki Region,1
370,Stratford West.,Theft and Related Offences,2023,Taranaki Region,1
371,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
372,Marsland Hill.,Theft and Related Offences,2023,Taranaki Region,1
373,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
374,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,1
375,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
376,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
377,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
378,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
379,Paraite.,Theft and Related Offences,2023,Taranaki Region,1
380,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
381,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
382,Spotswood.,Theft and Related Offences,2023,Taranaki Region,1
383,Inglewood.,Theft and Related Offences,2023,Taranaki Region,1
384,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
